model,feature,participant,accuracy,macro_f1,weighted_f1
CNN,STFT,29,0.21810344827586206,0.14478597075561261,0.14478597075561261
CNN,STFT,30,0.2631578947368421,0.10416666666666667,0.10964912280701755
CNN,STFT,31,0.2,0.08333333333333333,0.06666666666666667
CNN,STFT,32,0.2631578947368421,0.14474068391392236,0.14978224364881043
CNN,STFT,33,0.6795977011494253,0.5911210556745533,0.6833057686022234
CNN,STFT,34,0.17647058823529413,0.075,0.05294117647058823
CNN,STFT,35,0.2706896551724138,0.24301695330393286,0.2430169533039329
CNN,STFT,36,0.2631578947368421,0.10431654676258993,0.10980689132904203
CNN,STFT,37,0.2658802177858439,0.13799290830775088,0.14525569295552726
CNN,STFT,38,0.17647058823529413,0.075,0.05294117647058823
CNN,STFT,39,0.2442528735632184,0.20934873872966664,0.20425171996733324
CNN,STFT,40,0.16227180527383367,0.17149809609378341,0.15040148134725587
CNN,STFT,41,0.16666666666666666,0.07443008486327583,0.05111148088573348
CNN,MFCC,1,0.23399014778325122,0.1752390387305754,0.17312616456072838
CNN,MFCC,2,0.1477832512315271,0.08228575254258767,0.09964754147497668
CNN,MFCC,3,0.11764705882352941,0.03508771929824561,0.024767801857585137
CNN,MFCC,4,0.21618037135278514,0.14660633484162897,0.1454925165332405
CNN,MFCC,5,0.2543103448275862,0.23084140313055976,0.23889135184315904
CNN,MFCC,6,0.22413793103448276,0.12566108834605275,0.14429717940902986
CNN,MFCC,7,0.23645320197044334,0.17113991846519888,0.1653072840303211
CNN,MFCC,8,0.37471264367816093,0.1968625154654754,0.30847964538806144
CNN,MFCC,9,0.35591133004926107,0.2611155855235967,0.2273217758471326
CNN,MFCC,10,0.17150635208711434,0.07318376068376067,0.06115047233468287
CNN,MFCC,11,0.20689655172413793,0.1306344928956394,0.08991915727584518
CNN,MFCC,12,0.19278996865203762,0.11069738384981107,0.11244618259308352
CNN,MFCC,13,0.27586206896551724,0.2014728872506666,0.2454135815804153
CNN,MFCC,14,0.3081896551724138,0.22322382616983427,0.22322382616983424
CNN,MFCC,15,0.07543103448275862,0.043965421650943186,0.054956777063678984
CNN,MFCC,16,0.3620689655172414,0.17673343055158433,0.21946847328662708
CNN,MFCC,17,0.07011494252873564,0.040346410022650984,0.030609030306855207
CNN,MFCC,18,0.20114942528735633,0.06268160635964913,0.07521792763157895
CNN,MFCC,19,0.4646551724137931,0.14200361792657137,0.33417411908583655
CNN,MFCC,20,0.09939148073022312,0.07547920694553797,0.06701562839348352
CNN,MFCC,21,0.9741379310344828,0.9741206217000073,0.9741206217000073
CNN,MFCC,22,0.14741379310344827,0.11471389890721109,0.10269639562292723
CNN,MFCC,23,0.35714285714285715,0.17543859649122806,0.18796992481203006
CNN,MFCC,24,0.596551724137931,0.26002805049088357,0.4551472650771388
CNN,MFCC,25,0.32567049808429116,0.28011348203328096,0.22955325284309439
CNN,MFCC,26,0.29310344827586204,0.23819424013598772,0.150541008793436
CNN,MFCC,27,0.2662835249042146,0.12844916124614858,0.14272129027349842
CNN,MFCC,28,0.2604355716878403,0.23276399787461785,0.22380351446411356
CNN,MFCC,29,0.20086206896551725,0.12479474915810612,0.12479474915810611
CNN,MFCC,30,0.3929219600725953,0.2666369805755865,0.252538695791775
CNN,MFCC,31,0.2689655172413793,0.1410795566337415,0.14757607635531922
CNN,MFCC,32,0.3620689655172414,0.28141031470023303,0.2962213838949821
CNN,MFCC,33,0.2974137931034483,0.26912837817145113,0.2386871800011693
CNN,MFCC,34,0.12373225152129817,0.12517891337017648,0.13221745286247133
CNN,MFCC,35,0.25517241379310346,0.17549769253373348,0.17549769253373348
CNN,MFCC,36,0.2631578947368421,0.10416666666666667,0.10964912280701755
CNN,MFCC,37,0.33484573502722326,0.2791029510200772,0.27745864172712303
CNN,MFCC,38,0.27586206896551724,0.15757347040165093,0.17700786127115653
CNN,MFCC,39,0.3342911877394636,0.12739763797619594,0.1689178908240532
CNN,MFCC,40,0.3367139959432049,0.24903814001458402,0.29324566336523855
CNN,MFCC,41,0.38601532567049807,0.244147528387262,0.27127503154140226
CNN,Mel,1,0.21428571428571427,0.07058823529411765,0.07563025210084034
CNN,Mel,2,0.2651888341543514,0.22454050580786442,0.2545864531877262
CNN,Mel,3,0.11764705882352941,0.03508771929824561,0.024767801857585137
CNN,Mel,4,0.4960212201591512,0.4499576770643873,0.4442316086621569
CNN,Mel,5,0.28771551724137934,0.2697265819122626,0.2384778675892451
CNN,Mel,6,0.332657200811359,0.2836774073566073,0.28798895807662434
CNN,Mel,7,0.14285714285714285,0.0625,0.03571428571428571
CNN,Mel,8,0.2,0.08333333333333333,0.06666666666666667
CNN,Mel,9,0.2623152709359606,0.10420743639921722,0.11909421302767682
CNN,Mel,10,0.05263157894736842,0.014285714285714287,0.005263157894736843
CNN,Mel,11,0.2,0.1111111111111111,0.06666666666666667
CNN,Mel,12,0.09090909090909091,0.03333333333333333,0.01515151515151515
CNN,Mel,13,0.14285714285714285,0.05,0.03571428571428571
CNN,Mel,14,0.25862068965517243,0.16732640235160456,0.16732640235160454
CNN,Mel,15,0.125,0.04444444444444444,0.027777777777777776
CNN,Mel,16,0.22557471264367815,0.11720366850695386,0.1470887259782182
CNN,Mel,17,0.15517241379310345,0.08297011750758394,0.07743877634041167
CNN,Mel,18,0.09885057471264368,0.07073304672168823,0.06432314634047365
